duration_as_adoptable,age,breed_mixed,breed_primary,city,coat,color_primary,distance,gender,goodwith_cats,goodwith_children,goodwith_dogs,hasimage,hasvideo,house_trained,population,shots_current,size,spayed_neutered,special_needs
11.10894675925926,Baby,True,Chihuahua,Long Beach,Short,Black,9.9116,Male,True,True,True,True,False,False,1434.0,False,Small,True,False
11.113761574074076,Baby,True,Chihuahua,Long Beach,Short,Black,9.9116,Female,True,True,True,True,False,False,1434.0,False,Small,True,False
4.1806828703703705,Baby,True,Chihuahua,Long Beach,Short,Black,9.9116,Female,True,True,True,True,False,False,1434.0,False,Small,True,False
21.10767361111111,Baby,True,Retriever,Olympia,Short,Bicolor,8.3124,Male,True,True,True,True,False,True,48941.0,True,Medium,True,False
12.547037037037036,Adult,True,Dachshund,Olympia,unknown,Merle (Red),8.3124,Female,True,True,True,True,False,False,48941.0,True,Small,True,False
1.507523148148148,Baby,True,Bloodhound,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Large,True,False
7.9528125,Baby,True,Retriever,Olympia,unknown,Black,8.3124,Male,False,True,True,True,False,False,48941.0,True,Medium,True,False
7.954756944444443,Baby,True,Husky,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
7.9572569444444445,Baby,True,Husky,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
36.192581018518524,Adult,True,Retriever,Olympia,unknown,Yellow / Tan / Blond / Fawn,8.3124,Male,False,True,True,True,False,False,48941.0,True,Large,True,False
19.326030092592596,Baby,True,Retriever,Olympia,unknown,Black,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.336423611111111,Baby,True,Shepherd,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.43394675925926,Baby,True,Labrador Retriever,Olympia,Short,Black,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
2.3970138888888894,Baby,True,Labrador Retriever,Olympia,Medium,Bicolor,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
2.437013888888889,Young,True,Australian Shepherd,Olympia,Medium,Bicolor,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
4.405300925925926,Baby,True,Shepherd,Olympia,Medium,"Tricolor (Brown, Black, & White)",8.3124,Male,unknown,True,True,True,False,False,48941.0,True,Medium,True,False
22.781388888888888,Adult,True,Pug,Olympia,unknown,Brown / Chocolate,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
141.61439814814815,Adult,True,Shepherd,Olympia,unknown,Black,8.3124,Male,unknown,False,False,True,False,True,48941.0,True,Medium,True,False
35.58271990740741,Baby,True,Shepherd,Olympia,unknown,unknown,8.3124,Male,True,True,True,True,True,False,48941.0,True,Medium,True,False
10.889386574074075,Baby,True,Shepherd,Olympia,unknown,unknown,8.3124,Male,True,True,True,True,True,False,48941.0,True,Medium,True,False
3.1354398148148146,Adult,True,Australian Cattle Dog / Blue Heeler,Olympia,unknown,Gray / Blue / Silver,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
2.5845717592592594,Baby,True,American Staffordshire Terrier,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
10.200567129629631,Baby,True,American Staffordshire Terrier,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.288344907407407,Baby,True,Shepherd,Olympia,Short,"Tricolor (Brown, Black, & White)",8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.90587962962963,Baby,True,American Staffordshire Terrier,Olympia,unknown,Black,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.9199421296296295,Adult,True,Shepherd,Olympia,unknown,unknown,8.3124,Female,True,True,True,True,False,False,48941.0,True,Large,True,False
4.9203472222222215,Baby,True,Staffordshire Bull Terrier,Olympia,unknown,White / Cream,8.3124,Female,True,True,True,True,True,False,48941.0,True,Medium,True,False
24.535138888888888,Baby,True,Staffordshire Bull Terrier,Olympia,unknown,White / Cream,8.3124,Male,True,True,True,True,True,False,48941.0,True,Medium,True,False
6.556354166666668,Baby,True,Labrador Retriever,Olympia,unknown,Black,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
0.0006712962962962962,Baby,False,Affenpinscher,Olympia,Short,Bicolor,8.3124,Male,unknown,unknown,True,False,False,False,48941.0,True,Medium,True,False
4.38650462962963,Adult,True,Great Dane,Olympia,unknown,Black,8.3124,Male,unknown,True,True,True,True,False,48941.0,True,Large,True,False
13.9628125,Young,True,Labrador Retriever,Olympia,unknown,Brown / Chocolate,8.3124,Female,True,True,True,True,True,False,48941.0,True,Medium,True,False
6.956261574074074,Baby,True,Shepherd,Olympia,unknown,Brindle,8.3124,Female,True,True,True,True,True,False,48941.0,True,Medium,True,False
12.072395833333333,Young,True,Labrador Retriever,Olympia,unknown,Black,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
5.035555555555557,Baby,True,Labrador Retriever,Olympia,Short,Apricot / Beige,8.3124,Female,unknown,True,True,True,True,False,48941.0,True,Medium,True,False
14.647962962962964,Young,True,Australian Cattle Dog / Blue Heeler,Olympia,unknown,Brindle,8.3124,Male,unknown,True,True,True,False,False,48941.0,True,Large,True,False
