index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Three Lakes,2902,1590,1312,49.7,2432,1266,1166
Tieton,1391,661,730,32.5,597,236,361
Tokeland,240,122,118,54.2,194,100,94
Toledo,605,302,303,41.4,482,215,267
Tonasket,1053,439,614,46.8,788,313,475
Toppenish,9006,4686,4320,24.8,3388,1557,1831
Torboy,126,72,54,38.8,70,50,20
Touchet,436,199,237,38.3,254,118,136
Town and Country,5481,2449,3032,36.2,3909,1751,2158
Tracyton,6205,3055,3150,36.5,4645,2327,2318
Trout Lake,640,312,328,42.3,464,215,249
Tukwila,19757,10007,9750,33.5,11554,5856,5698
Tumwater,18478,8552,9926,37.1,14222,6315,7907
Twin Lakes,103,65,38,58.8,86,61,25
Twisp,976,472,504,46.8,761,353,408
Union,345,158,187,71.4,345,158,187
Union Gap,6042,2893,3149,32.0,3280,1465,1815
Union Hill-Novelty Hill,21510,10607,10903,41.9,13966,6745,7221
Uniontown,418,230,188,34.4,302,158,144
University Place,31991,15455,16536,36.5,22659,10786,11873
Upper Elochoman,51,43,8,62.1,40,32,8
Vader,674,337,337,34.8,486,230,256
Valley,163,71,92,38.5,131,69,62
Vancouver,168050,81789,86261,36.4,117436,56472,60964
Vantage,27,9,18,54.8,27,9,18
Vashon,10189,4856,5333,51.4,8403,3810,4593
Vaughn,527,285,242,59.2,477,250,227
Venersborg,3823,1944,1879,43.1,2790,1375,1415
Verlot,115,42,73,44.1,87,42,45
Waitsburg,1128,515,613,42.8,868,395,473
Walla Walla,31957,16664,15293,35.2,22683,11891,10792
Walla Walla East,1767,839,928,42.3,1227,613,614
Waller,7998,4060,3938,46.1,6493,3260,3233
Wallula,302,178,124,12.6,108,46,62
Walnut Grove,9732,4917,4815,38.9,7018,3593,3425
Wapato,5075,2611,2464,26.2,2079,994,1085
Warden,2735,1329,1406,25.9,1156,530,626
Warm Beach,2397,1300,1097,51.4,1911,1069,842
Washougal,14777,7525,7252,36.8,10470,5235,5235
Washtucna,279,133,146,41.8,216,82,134
Waterville,1869,964,905,35.0,1196,611,585
Wauna,4451,2407,2044,43.6,3452,1786,1666
Waverly,80,40,40,39.8,59,32,27
Wenatchee,32950,15736,17214,34.0,21223,9898,11325
West Clarkston-Highland,5470,2516,2954,48.6,4439,2026,2413
West Pasco,2223,1186,1037,47.8,1745,889,856
West Richland,13048,6344,6704,36.7,8996,4236,4760
West Side Highway,5812,2761,3051,34.2,4077,2041,2036
Westport,1965,1080,885,46.6,1477,811,666
Whidbey Island Station,1938,1380,558,22.7,1852,1344,508
White Center,14728,7495,7233,36.4,9072,4360,4712
White Salmon,2212,1000,1212,37.1,1660,760,900
White Swan,652,304,348,22.3,340,161,179
Wilbur,682,320,362,56.5,546,243,303
Wilderness Rim,1476,718,758,47.8,1235,573,662
Wilkeson,406,228,178,40.0,320,170,150
Willapa,233,120,113,51.2,195,101,94
Wilson Creek,185,82,103,52.4,139,71,68
Winlock,1513,722,791,30.8,996,430,566
Winthrop,364,188,176,44.8,278,151,127
Wishram,364,201,163,43.3,280,146,134
Wollochet,5930,2933,2997,48.0,4618,2176,2442
Woodinville,11373,5471,5902,40.8,8084,3770,4314
Woodland,5589,2616,2973,29.4,3335,1585,1750
Woods Creek,5652,2789,2863,41.3,4163,2147,2016
Woodway,1337,686,651,45.9,957,442,515
Yacolt,1819,913,906,26.6,1206,622,584
Yakima,93261,46470,46791,33.1,56099,27637,28462
Yarrow Point,1172,581,591,49.1,800,394,406
Yelm,7701,3940,3761,29.2,4703,2262,2441
Zillah,3100,1563,1537,34.1,1885,960,925
