index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Coulee City,634,345,289,47.8,503,275,228
Coulee Dam,1290,665,625,40.6,966,493,473
Country Homes,5573,2337,3236,22.7,4574,1962,2612
Coupeville,2141,1038,1103,52.7,1586,675,911
Covington,18689,9346,9343,35.4,12734,6460,6274
Cowiche,1007,615,392,22.0,116,76,40
Creston,273,131,142,49.3,220,105,115
Crocker,1385,768,617,40.9,1061,547,514
Curlew,117,58,59,46.6,90,36,54
Curlew Lake,560,277,283,47.9,444,238,206
Cusick,106,45,61,59.0,97,36,61
Custer,423,175,248,51.6,346,107,239
Dallesport,1365,600,765,52.1,1052,507,545
Danville,32,11,21,48.0,30,11,19
Darrington,1497,837,660,38.3,1091,620,471
Dash Point,830,385,445,54.3,703,336,367
Davenport,1610,806,804,39.8,1233,634,599
Dayton,2852,1463,1389,42.9,2133,1072,1061
Deep River,182,86,96,60.7,164,80,84
Deer Park,3784,1601,2183,34.4,2753,1125,1628
Deming,420,187,233,37.1,302,132,170
Des Moines,30715,15377,15338,38.2,20285,9731,10554
Desert Aire,2131,945,1186,18.9,673,349,324
Disautel,27,13,14,54.6,27,13,14
Dixie,268,128,140,46.3,209,101,108
Dollars Corner,1101,508,593,52.9,925,463,462
DuPont,9054,4603,4451,31.6,5824,2900,2924
Duluth,1550,828,722,46.3,1146,596,550
Duvall,7373,3382,3991,34.5,4763,2079,2684
East Cathlamet,490,226,264,54.7,473,226,247
East Port Orchard,5109,2618,2491,32.2,3772,1958,1814
East Renton Highlands,11092,5793,5299,43.2,8030,4090,3940
East Wenatchee,13473,6656,6817,35.2,8891,4269,4622
Eastmont,21274,10643,10631,38.5,15121,7667,7454
Easton,374,156,218,52.1,293,141,152
Eatonville,2830,1371,1459,37.3,1964,1026,938
Edgewood,9600,4799,4801,45.2,7543,3778,3765
Edison,162,117,45,38.0,102,57,45
Edmonds,40689,19887,20802,47.7,31599,15235,16364
Electric City,1094,509,585,49.3,848,423,425
Elk Plain,14252,7051,7201,34.6,10489,5142,5347
Ellensburg,18637,8891,9746,23.9,15045,7124,7921
Elma,3035,1743,1292,31.5,2020,1034,986
Elmer City,307,141,166,45.1,237,108,129
Endicott,239,132,107,48.4,190,100,90
Enetai,1919,969,950,51.6,1571,794,777
Entiat,1190,615,575,45.8,911,423,488
Enumclaw,11494,5550,5944,37.3,7920,3737,4183
Ephrata,7948,3923,4025,36.4,5204,2426,2778
Erlands Point-Kitsap Lake,3065,1596,1469,34.2,2229,1158,1071
Eschbach,260,118,142,38.4,174,86,88
Esperance,3811,1810,2001,43.4,2775,1242,1533
Everett,105685,53963,51722,35.2,72703,36476,36227
Everson,2553,1238,1315,33.4,1511,749,762
Fairchild AFB,2947,1628,1319,22.7,1931,1193,738
Fairfield,464,248,216,45.4,368,184,184
Fairwood,20032,10103,9929,39.1,14483,7513,6970
Fairwood,8262,3953,4309,36.7,5743,2656,3087
Fall City,1729,861,868,44.0,1437,694,743
Farmington,104,60,44,43.0,72,42,30
Federal Way,92859,46041,46818,35.8,60751,29635,31116
Felida,7744,3781,3963,43.4,5621,2680,2941
Fern Prairie,2108,1068,1040,41.5,1626,796,830
Ferndale,12355,5638,6717,35.5,8681,3955,4726
Fife,9477,4706,4771,31.1,5950,2969,2981
Fife Heights,2009,1030,979,37.9,1404,726,678
Finley,5958,3006,2952,36.3,3999,1972,2027
Fircrest,6612,3120,3492,39.6,4866,2274,2592
Five Corners,19662,10373,9289,32.2,12952,6627,6325
Fobes Hill,2824,1584,1240,45.2,2230,1230,1000
Fords Prairie,1815,886,929,47.6,1293,629,664
Forks,3693,2038,1655,33.0,2561,1256,1305
Fort Lewis,13163,7494,5669,22.0,7825,4613,3212
Four Lakes,221,83,138,52.3,221,83,138
Fox Island,3731,1721,2010,47.6,2864,1332,1532
Frederickson,19949,10228,9721,33.0,13335,6643,6692
Freeland,1803,894,909,55.1,1491,708,783
Friday Harbor,2162,909,1253,43.5,1597,680,917
Garfield,496,228,268,55.0,414,183,231
Garrett,1508,738,770,46.8,1129,534,595
Geneva,2544,1242,1302,40.4,1884,877,1007
George,648,313,335,26.1,180,96,84
Gig Harbor,7918,3763,4155,47.7,6306,2806,3500
Glacier,73,46,27,62.3,59,32,27
Gleed,2948,1271,1677,45.4,2121,993,1128
Glenwood,186,83,103,41.2,138,59,79
Gold Bar,2193,1110,1083,36.0,1530,794,736
Goldendale,3437,1800,1637,33.4,2660,1355,1305
Gorst,484,302,182,53.7,459,277,182
Graham,24976,12702,12274,34.4,17527,8847,8680
Grand Coulee,897,415,482,47.9,732,317,415
Grand Mound,3329,1721,1608,28.8,1923,958,965
Grandview,11083,5714,5369,27.1,5378,2753,2625
Granger,3404,1629,1775,21.6,1283,586,697
Granite Falls,3451,1800,1651,35.2,2526,1267,1259
Grapeview,1156,629,527,50.9,1001,514,487
Grayland,489,219,270,65.4,489,219,270
Grays River,474,186,288,47.5,360,149,211
Green Bluff,992,418,574,47.5,671,283,388
Greenwater,109,44,65,49.3,109,44,65
Hamilton,230,129,101,44.6,205,125,80
Hansville,3617,1587,2030,53.0,2797,1341,1456
Harrah,680,325,355,28.5,369,178,191
Harrington,327,198,129,45.4,271,160,111
Hartline,119,75,44,46.4,94,57,37
Hatton,74,38,36,47.3,48,22,26
Hazel Dell,20155,9953,10202,36.7,14498,6880,7618
Herron Island,81,41,40,73.1,81,41,40
High Bridge,3152,1535,1617,47.3,2304,1182,1122
Hobart,6362,3256,3106,46.8,4833,2389,2444
Hockinson,4985,2424,2561,41.5,3485,1774,1711
Hogans Corner,161,93,68,50.1,123,93,30
Home,1702,722,980,34.1,1180,513,667
Hoodsport,880,433,447,52.0,694,319,375
Hoquiam,8479,4020,4459,37.4,6111,2869,3242
Humptulips,251,141,110,50.4,177,105,72
Hunts Point,508,256,252,48.6,375,190,185
Ilwaco,1021,470,551,42.5,765,384,381
Inchelium,494,230,264,31.0,351,148,203
Index,178,85,93,44.3,142,67,75
Indianola,3486,1688,1798,44.1,2681,1328,1353
Ione,342,167,175,48.9,283,141,142
Issaquah,33682,15756,17926,37.4,22024,9877,12147
Jamestown,427,182,245,44.3,238,101,137
Kahlotus,224,102,122,34.4,153,82,71
Kalama,2498,1219,1279,38.4,1932,965,967
Kapowsin,285,121,164,51.2,226,90,136
Kayak Point,2068,943,1125,45.2,1541,797,744
Keller,228,104,124,34.5,154,64,90
Kelso,11837,5526,6311,32.8,8327,3895,4432
Kendall,126,58,68,39.2,100,45,55
Kenmore,21575,10511,11064,39.1,14886,7197,7689
Kennewick,76918,38205,38713,32.7,49981,24718,25263
Kent,124292,62089,62203,33.6,76432,37648,38784
Kettle Falls,1437,717,720,48.1,1113,536,577
Key Center,3811,1977,1834,44.0,2900,1517,1383
Keyport,488,209,279,35.5,398,199,199
Kingston,1963,937,1026,44.7,1500,718,782
Kirkland,84721,41336,43385,38.1,59180,28864,30316
Kittitas,1387,753,634,39.9,1014,520,494
Klahanie,11586,5613,5973,36.5,7080,3355,3725
Klickitat,448,241,207,47.5,370,212,158
Krupp,45,23,22,53.6,34,14,20
La Center,3066,1508,1558,33.9,2115,1089,1026
La Conner,748,307,441,60.9,643,259,384
La Grande,102,46,56,41.4,102,46,56
LaCrosse,265,136,129,56.3,245,123,122
Lacey,44825,21478,23347,34.9,32083,14966,17117
Lake Bosworth,554,306,248,47.7,428,228,200
Lake Cassidy,3666,1985,1681,43.2,2614,1398,1216
Lake Cavanaugh,125,81,44,68.6,117,73,44
Lake Forest Park,13059,6400,6659,46.1,10359,5119,5240
Lake Goodwin,3577,1846,1731,47.3,2879,1452,1427
Lake Holm,3416,1779,1637,48.2,2757,1446,1311
Lake Ketchum,948,485,463,52.6,767,398,369
Lake Marcel-Stillwater,1269,717,552,41.0,821,435,386
