age,gender,size,coat,distance,spayed_neutered,house_trained,declawed,special_needs,shots_current,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,goodwith_children,goodwith_dogs,goodwith_cats,hasimage,hasvideo,duration_as_adoptable,city,population
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Buff / Tan / Fawn,Orange / Red,Tabby (Buff / Tan / Fawn),True,unknown,True,True,True,90.73342592592593,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Bombay,True,False,Black,none,none,True,unknown,True,True,False,90.73613425925926,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Gray & White,Gray / Blue / Silver,White,True,True,True,True,False,7.739293981481483,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Gray & White,Tabby (Gray / Blue / Silver),none,True,True,True,True,False,15.866273148148148,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,White,Black,Gray / Blue / Silver,True,True,True,True,False,7.819502314814816,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),none,True,True,True,True,False,41.03597222222222,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),none,True,True,True,True,False,7.8618287037037025,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray & White,Gray / Blue / Silver,White,True,True,True,True,False,7.875821759259258,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,False,False,Brown / Chocolate,Tabby (Brown / Chocolate),White,True,True,True,True,False,9.887314814814816,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange / Red,Tabby (Orange / Red),Tabby (Tiger Striped),True,unknown,True,True,True,58.790902777777774,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,unknown,none,none,unknown,unknown,True,True,False,48.612731481481475,Federal Way,92859.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tortoiseshell,none,none,True,unknown,True,True,False,42.40539351851852,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Tortoiseshell,none,none,True,unknown,True,True,False,91.02077546296294,Puyallup,38720.0
Senior,Male,Small,Medium,7.5018,False,False,False,False,True,Domestic Medium Hair,none,False,False,Black,none,none,True,unknown,True,True,False,32.92833333333333,Puyallup,38720.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Russian Blue,True,False,Blue Cream,Gray & White,Gray / Blue / Silver,True,True,True,True,False,40.99166666666667,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Torbie,True,False,Tabby (Brown / Chocolate),Torbie,none,True,True,True,True,False,3.353703703703704,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Buff & White,Orange / Red,Tabby (Orange / Red),True,True,True,True,False,3.3651967592592587,Federal Way,92859.0
